Program,Conformant,Non-Conformant
"Arktisk byggeri og infrastruktur, ing.prof.bach.",63,766
"Byggeri og infrastruktur, ing.prof.bach.",380,5370
"Data science og datamangament, ing.bach.",136,1310
"Industriel økonomi og teknologiledelse, cand.polyt.",291,3817
