concept:name,lifecycle:transition,org:resource,time:timestamp,Program,Course code,Grade,case:concept:name,case:variant,case:variant-index,case:creator
E42-35,complete,"Industriel økonomi og teknologiledelse, cand.polyt.",2018-07-10 00:00:00+00:00,"Industriel økonomi og teknologiledelse, cand.polyt.",E42-35,10,STNR008723,Variant 6746,6746,Fluxicon Disco
42413,complete,"Industriel økonomi og teknologiledelse, cand.polyt.",2017-07-06 00:00:00+00:00,"Industriel økonomi og teknologiledelse, cand.polyt.",42413,12,STNR008729,Variant 6752,6752,Fluxicon Disco
S42-05-1,complete,"Industriel økonomi og teknologiledelse, cand.polyt.",2018-03-01 00:00:00+00:00,"Industriel økonomi og teknologiledelse, cand.polyt.",S42-05-1,BE,STNR008729,Variant 6752,6752,Fluxicon Disco
E42-35,complete,"Industriel økonomi og teknologiledelse, cand.polyt.",2018-09-10 00:00:00+00:00,"Industriel økonomi og teknologiledelse, cand.polyt.",E42-35,12,STNR008729,Variant 6752,6752,Fluxicon Disco
E42-35,complete,"Industriel økonomi og teknologiledelse, cand.polyt.",2018-01-25 00:00:00+00:00,"Industriel økonomi og teknologiledelse, cand.polyt.",E42-35,4,STNR008731,Variant 17,17,Fluxicon Disco
42413,complete,"Industriel økonomi og teknologiledelse, cand.polyt.",2017-07-06 00:00:00+00:00,"Industriel økonomi og teknologiledelse, cand.polyt.",42413,10,STNR008750,Variant 68,68,Fluxicon Disco
E42-35,complete,"Industriel økonomi og teknologiledelse, cand.polyt.",2018-08-29 00:00:00+00:00,"Industriel økonomi og teknologiledelse, cand.polyt.",E42-35,10,STNR008750,Variant 68,68,Fluxicon Disco
S42-05-1,complete,"Byggeri og infrastruktur, ing.prof.bach.",2017-08-01 00:00:00+00:00,"Byggeri og infrastruktur, ing.prof.bach.",S42-05-1,7,STNR008760,Variant 160,160,Fluxicon Disco
S42-05-3,complete,"Industriel økonomi og teknologiledelse, cand.polyt.",2017-07-24 00:00:00+00:00,"Industriel økonomi og teknologiledelse, cand.polyt.",S42-05-3,BE,STNR008847,Variant 6865,6865,Fluxicon Disco
11561,complete,"Arktisk byggeri og infrastruktur, ing.prof.bach.",2017-07-07 00:00:00+00:00,"Arktisk byggeri og infrastruktur, ing.prof.bach.",11561,4,STNR008981,Variant 6994,6994,Fluxicon Disco
S11-02-1,complete,"Arktisk byggeri og infrastruktur, ing.prof.bach.",2018-04-03 00:00:00+00:00,"Arktisk byggeri og infrastruktur, ing.prof.bach.",S11-02-1,12,STNR008981,Variant 6994,6994,Fluxicon Disco
DE11-20,complete,"Arktisk byggeri og infrastruktur, ing.prof.bach.",2018-05-03 00:00:00+00:00,"Arktisk byggeri og infrastruktur, ing.prof.bach.",DE11-20,12,STNR008981,Variant 6994,6994,Fluxicon Disco
11561,complete,"Arktisk byggeri og infrastruktur, ing.prof.bach.",2017-07-07 00:00:00+00:00,"Arktisk byggeri og infrastruktur, ing.prof.bach.",11561,4,STNR009119,Variant 7105,7105,Fluxicon Disco
S12-07-1,complete,"Arktisk byggeri og infrastruktur, ing.prof.bach.",2017-10-27 00:00:00+00:00,"Arktisk byggeri og infrastruktur, ing.prof.bach.",S12-07-1,4,STNR009119,Variant 7105,7105,Fluxicon Disco
DE11-20,complete,"Arktisk byggeri og infrastruktur, ing.prof.bach.",2017-12-21 00:00:00+00:00,"Arktisk byggeri og infrastruktur, ing.prof.bach.",DE11-20,10,STNR009119,Variant 7105,7105,Fluxicon Disco
