concept:name,lifecycle:transition,org:resource,time:timestamp,Program,Course code,Grade,case:concept:name,case:variant,case:variant-index,case:creator
42421,complete,"Arktisk byggeri og infrastruktur, ing.prof.bach.",2019-12-27 00:00:00+00:00,"Arktisk byggeri og infrastruktur, ing.prof.bach.",42421,7,STNR000023,Variant 291,291,Fluxicon Disco
11997,complete,"Arktisk byggeri og infrastruktur, ing.prof.bach.",2020-01-07 00:00:00+00:00,"Arktisk byggeri og infrastruktur, ing.prof.bach.",11997,7,STNR000023,Variant 291,291,Fluxicon Disco
1005,complete,"Arktisk byggeri og infrastruktur, ing.prof.bach.",2020-06-22 00:00:00+00:00,"Arktisk byggeri og infrastruktur, ing.prof.bach.",1005,4,STNR000023,Variant 291,291,Fluxicon Disco
11821,complete,"Arktisk byggeri og infrastruktur, ing.prof.bach.",2020-12-21 00:00:00+00:00,"Arktisk byggeri og infrastruktur, ing.prof.bach.",11821,7,STNR000023,Variant 291,291,Fluxicon Disco
11832,complete,"Arktisk byggeri og infrastruktur, ing.prof.bach.",2021-03-02 00:00:00+00:00,"Arktisk byggeri og infrastruktur, ing.prof.bach.",11832,BE,STNR000023,Variant 291,291,Fluxicon Disco
11823,complete,"Arktisk byggeri og infrastruktur, ing.prof.bach.",2021-03-03 00:00:00+00:00,"Arktisk byggeri og infrastruktur, ing.prof.bach.",11823,10,STNR000023,Variant 291,291,Fluxicon Disco
11836,complete,"Arktisk byggeri og infrastruktur, ing.prof.bach.",2021-05-28 00:00:00+00:00,"Arktisk byggeri og infrastruktur, ing.prof.bach.",11836,12,STNR000023,Variant 291,291,Fluxicon Disco
11825,complete,"Arktisk byggeri og infrastruktur, ing.prof.bach.",2021-08-31 00:00:00+00:00,"Arktisk byggeri og infrastruktur, ing.prof.bach.",11825,10,STNR000023,Variant 291,291,Fluxicon Disco
62054,complete,"Arktisk byggeri og infrastruktur, ing.prof.bach.",2021-09-20 00:00:00+00:00,"Arktisk byggeri og infrastruktur, ing.prof.bach.",62054,10,STNR000023,Variant 291,291,Fluxicon Disco
62338,complete,"Arktisk byggeri og infrastruktur, ing.prof.bach.",2017-08-24 00:00:00+00:00,"Arktisk byggeri og infrastruktur, ing.prof.bach.",62338,4,STNR000025,Variant 293,293,Fluxicon Disco
1901,complete,"Arktisk byggeri og infrastruktur, ing.prof.bach.",2017-09-01 00:00:00+00:00,"Arktisk byggeri og infrastruktur, ing.prof.bach.",1901,EM,STNR000025,Variant 293,293,Fluxicon Disco
41236,complete,"Arktisk byggeri og infrastruktur, ing.prof.bach.",2017-09-01 00:00:00+00:00,"Arktisk byggeri og infrastruktur, ing.prof.bach.",41236,4,STNR000025,Variant 293,293,Fluxicon Disco
11830,complete,"Arktisk byggeri og infrastruktur, ing.prof.bach.",2017-12-19 00:00:00+00:00,"Arktisk byggeri og infrastruktur, ing.prof.bach.",11830,4,STNR000025,Variant 293,293,Fluxicon Disco
11420,complete,"Arktisk byggeri og infrastruktur, ing.prof.bach.",2018-01-03 00:00:00+00:00,"Arktisk byggeri og infrastruktur, ing.prof.bach.",11420,4,STNR000025,Variant 293,293,Fluxicon Disco
1901,complete,"Arktisk byggeri og infrastruktur, ing.prof.bach.",2018-01-05 00:00:00+00:00,"Arktisk byggeri og infrastruktur, ing.prof.bach.",1901,4,STNR000025,Variant 293,293,Fluxicon Disco
11767,complete,"Arktisk byggeri og infrastruktur, ing.prof.bach.",2018-01-10 00:00:00+00:00,"Arktisk byggeri og infrastruktur, ing.prof.bach.",11767,BE,STNR000025,Variant 293,293,Fluxicon Disco
S11-05-1,complete,"Arktisk byggeri og infrastruktur, ing.prof.bach.",2018-01-25 00:00:00+00:00,"Arktisk byggeri og infrastruktur, ing.prof.bach.",S11-05-1,4,STNR000025,Variant 293,293,Fluxicon Disco
62250,complete,"Arktisk byggeri og infrastruktur, ing.prof.bach.",2018-02-16 00:00:00+00:00,"Arktisk byggeri og infrastruktur, ing.prof.bach.",62250,7,STNR000025,Variant 293,293,Fluxicon Disco
PRA62-30,complete,"Arktisk byggeri og infrastruktur, ing.prof.bach.",2018-07-20 00:00:00+00:00,"Arktisk byggeri og infrastruktur, ing.prof.bach.",PRA62-30,BE,STNR000025,Variant 293,293,Fluxicon Disco
62276,complete,"Arktisk byggeri og infrastruktur, ing.prof.bach.",2018-12-11 00:00:00+00:00,"Arktisk byggeri og infrastruktur, ing.prof.bach.",62276,2,STNR000025,Variant 293,293,Fluxicon Disco
42421,complete,"Arktisk byggeri og infrastruktur, ing.prof.bach.",2018-12-17 00:00:00+00:00,"Arktisk byggeri og infrastruktur, ing.prof.bach.",42421,10,STNR000025,Variant 293,293,Fluxicon Disco
62999,complete,"Arktisk byggeri og infrastruktur, ing.prof.bach.",2019-01-21 00:00:00+00:00,"Arktisk byggeri og infrastruktur, ing.prof.bach.",62999,7,STNR000025,Variant 293,293,Fluxicon Disco
62263,complete,"Arktisk byggeri og infrastruktur, ing.prof.bach.",2019-01-27 00:00:00+00:00,"Arktisk byggeri og infrastruktur, ing.prof.bach.",62263,0,STNR000025,Variant 293,293,Fluxicon Disco
11466,complete,"Arktisk byggeri og infrastruktur, ing.prof.bach.",2019-08-26 00:00:00+00:00,"Arktisk byggeri og infrastruktur, ing.prof.bach.",11466,7,STNR000025,Variant 293,293,Fluxicon Disco
11412,complete,"Arktisk byggeri og infrastruktur, ing.prof.bach.",2020-01-15 00:00:00+00:00,"Arktisk byggeri og infrastruktur, ing.prof.bach.",11412,-3,STNR000025,Variant 293,293,Fluxicon Disco
62263,complete,"Arktisk byggeri og infrastruktur, ing.prof.bach.",2020-01-24 00:00:00+00:00,"Arktisk byggeri og infrastruktur, ing.prof.bach.",62263,0,STNR000025,Variant 293,293,Fluxicon Disco
88383,complete,"Arktisk byggeri og infrastruktur, ing.prof.bach.",2020-01-24 00:00:00+00:00,"Arktisk byggeri og infrastruktur, ing.prof.bach.",88383,BE,STNR000025,Variant 293,293,Fluxicon Disco
62139,complete,"Arktisk byggeri og infrastruktur, ing.prof.bach.",2020-05-25 00:00:00+00:00,"Arktisk byggeri og infrastruktur, ing.prof.bach.",62139,BE,STNR000025,Variant 293,293,Fluxicon Disco
62263,complete,"Arktisk byggeri og infrastruktur, ing.prof.bach.",2020-06-19 00:00:00+00:00,"Arktisk byggeri og infrastruktur, ing.prof.bach.",62263,2,STNR000025,Variant 293,293,Fluxicon Disco
11412,complete,"Arktisk byggeri og infrastruktur, ing.prof.bach.",2020-06-20 00:00:00+00:00,"Arktisk byggeri og infrastruktur, ing.prof.bach.",11412,0,STNR000025,Variant 293,293,Fluxicon Disco
DE11-20,complete,"Arktisk byggeri og infrastruktur, ing.prof.bach.",2021-01-15 00:00:00+00:00,"Arktisk byggeri og infrastruktur, ing.prof.bach.",DE11-20,7,STNR000025,Variant 293,293,Fluxicon Disco
11412,complete,"Arktisk byggeri og infrastruktur, ing.prof.bach.",2021-01-18 00:00:00+00:00,"Arktisk byggeri og infrastruktur, ing.prof.bach.",11412,4,STNR000025,Variant 293,293,Fluxicon Disco
11821,complete,"Arktisk byggeri og infrastruktur, ing.prof.bach.",2017-11-01 00:00:00+00:00,"Arktisk byggeri og infrastruktur, ing.prof.bach.",11821,7,STNR000028,Variant 296,296,Fluxicon Disco
11832,complete,"Arktisk byggeri og infrastruktur, ing.prof.bach.",2017-11-10 00:00:00+00:00,"Arktisk byggeri og infrastruktur, ing.prof.bach.",11832,BE,STNR000028,Variant 296,296,Fluxicon Disco
11823,complete,"Arktisk byggeri og infrastruktur, ing.prof.bach.",2018-02-02 00:00:00+00:00,"Arktisk byggeri og infrastruktur, ing.prof.bach.",11823,7,STNR000028,Variant 296,296,Fluxicon Disco
11836,complete,"Arktisk byggeri og infrastruktur, ing.prof.bach.",2018-05-29 00:00:00+00:00,"Arktisk byggeri og infrastruktur, ing.prof.bach.",11836,10,STNR000028,Variant 296,296,Fluxicon Disco
11825,complete,"Arktisk byggeri og infrastruktur, ing.prof.bach.",2018-08-13 00:00:00+00:00,"Arktisk byggeri og infrastruktur, ing.prof.bach.",11825,10,STNR000028,Variant 296,296,Fluxicon Disco
11837,complete,"Arktisk byggeri og infrastruktur, ing.prof.bach.",2018-10-10 00:00:00+00:00,"Arktisk byggeri og infrastruktur, ing.prof.bach.",11837,4,STNR000028,Variant 296,296,Fluxicon Disco
11833,complete,"Arktisk byggeri og infrastruktur, ing.prof.bach.",2018-11-06 00:00:00+00:00,"Arktisk byggeri og infrastruktur, ing.prof.bach.",11833,10,STNR000028,Variant 296,296,Fluxicon Disco
11829,complete,"Arktisk byggeri og infrastruktur, ing.prof.bach.",2018-12-17 00:00:00+00:00,"Arktisk byggeri og infrastruktur, ing.prof.bach.",11829,10,STNR000028,Variant 296,296,Fluxicon Disco
11831,complete,"Arktisk byggeri og infrastruktur, ing.prof.bach.",2018-12-20 00:00:00+00:00,"Arktisk byggeri og infrastruktur, ing.prof.bach.",11831,7,STNR000028,Variant 296,296,Fluxicon Disco
