STUDIENR,UDDANNELSE,KURSKODE,KURSTXT,BEDOMMELSE,SKALA,ECTS,UDPROVNING,CENSUR,BEDOMMELSESDATO
STNR005880,"Eksport og teknologi, ing.prof.bach.",62219,"62219 Miljø, kemi og produkter",BE,7-trinsskala,10.0,Afløsningsopgave,intern censur,2021-06-02
STNR005880,"Eksport og teknologi, ing.prof.bach.",62220,"62220 Miljøvurdering af produkter, projekt 1",10,7-trinsskala,5.0,Afløsningsopgave,ekstern censur,2021-06-25
STNR005880,"Eksport og teknologi, ing.prof.bach.",62223,62223 Erhvervsøkonomi,7,7-trinsskala,5.0,Afløsningsopgave,ekstern censur,2021-05-12
STNR005880,"Eksport og teknologi, ing.prof.bach.",62224,62224 Engelsk 1 - Amerikanske samfundsforhold og akademisk skrivning 1,BE,bestået/ikke bestået,5.0,Afløsningsopgave,intern censur,2021-01-08
STNR005880,"Eksport og teknologi, ing.prof.bach.",62225,62225 Engelsk 2 - Amerikanske samfundsforhold og akademisk skrivning 2,BE,bestået/ikke bestået,5.0,Afløsningsopgave,intern censur,2021-06-04
STNR005881,"Eksport og teknologi, ing.prof.bach.",62158,62158 Grundlæggende matematik 1,2,7-trinsskala,10.0,Afløsningsopgave,intern censur,2020-12-22
STNR005881,"Eksport og teknologi, ing.prof.bach.",62159,62159 Grundlæggende matematik 2,-3,7-trinsskala,5.0,Afløsningsopgave,intern censur,2021-03-25
STNR005881,"Eksport og teknologi, ing.prof.bach.",62171,62171 Afsætningsøkonomi,12,7-trinsskala,5.0,Skriftlig,intern censur,2020-12-17
STNR005881,"Eksport og teknologi, ing.prof.bach.",62218,62218 Grundlæggende Naturvidenskab,4,7-trinsskala,5.0,Mundtlig,intern censur,2020-12-10
STNR005881,"Eksport og teknologi, ing.prof.bach.",62224,62224 Engelsk 1 - Amerikanske samfundsforhold og akademisk skrivning 1,BE,bestået/ikke bestået,5.0,Afløsningsopgave,intern censur,2021-01-08
