course_code,reason
31343,Prerequisites not found for course 31343 even in older versions
31344,Prerequisites not found for course 31344 even in older versions
31792,Prerequisites not found for course 31792 even in older versions
12145,Prerequisites not found for course 12145 even in older versions
01904,Prerequisites not found for course 01904 even in older versions
62445,Prerequisites not found for course 62445 even in older versions
10731,Prerequisites not found for course 10731 even in older versions
42554,Prerequisites not found for course 42554 even in older versions
62132,Prerequisites not found for course 62132 even in older versions
25104,Prerequisites not found for course 25104 even in older versions
25301,Prerequisites not found for course 25301 even in older versions
25302,Prerequisites not found for course 25302 even in older versions
25325,Prerequisites not found for course 25325 even in older versions
62100,Prerequisites not found for course 62100 even in older versions
62119,Prerequisites not found for course 62119 even in older versions
31039,Prerequisites not found for course 31039 even in older versions
62602,Prerequisites not found for course 62602 even in older versions
42383,Prerequisites not found for course 42383 even in older versions
42389,Prerequisites not found for course 42389 even in older versions
01006,Prerequisites not found for course 01006 even in older versions
10018,Prerequisites not found for course 10018 even in older versions
27016,Prerequisites not found for course 27016 even in older versions
47203,Prerequisites not found for course 47203 even in older versions
42993,Prerequisites not found for course 42993 even in older versions
42995,Prerequisites not found for course 42995 even in older versions
62079,Prerequisites not found for course 62079 even in older versions
62618,Prerequisites not found for course 62618 even in older versions
12000,Prerequisites not found for course 12000 even in older versions
62426,Prerequisites not found for course 62426 even in older versions
62443,Prerequisites not found for course 62443 even in older versions
01019,Prerequisites not found for course 01019 even in older versions
31515,Prerequisites not found for course 31515 even in older versions
31910,Prerequisites not found for course 31910 even in older versions
42945,Prerequisites not found for course 42945 even in older versions
42994,Prerequisites not found for course 42994 even in older versions
23152,Prerequisites not found for course 23152 even in older versions
02525,Prerequisites not found for course 02525 even in older versions
23512,Prerequisites not found for course 23512 even in older versions
62135,Prerequisites not found for course 62135 even in older versions
42891,Prerequisites not found for course 42891 even in older versions
42941,Prerequisites not found for course 42941 even in older versions
42997,Prerequisites not found for course 42997 even in older versions
42999,Prerequisites not found for course 42999 even in older versions
62226,Prerequisites not found for course 62226 even in older versions
31552,Prerequisites not found for course 31552 even in older versions
36004,Prerequisites not found for course 36004 even in older versions
10034,Prerequisites not found for course 10034 even in older versions
22600,Prerequisites not found for course 22600 even in older versions
33472,Prerequisites not found for course 33472 even in older versions
34290,Prerequisites not found for course 34290 even in older versions
10024,Prerequisites not found for course 10024 even in older versions
30100,Prerequisites not found for course 30100 even in older versions
25107,Prerequisites not found for course 25107 even in older versions
25318,Prerequisites not found for course 25318 even in older versions
25327,Prerequisites not found for course 25327 even in older versions
25328,Prerequisites not found for course 25328 even in older versions
25333,Prerequisites not found for course 25333 even in older versions
25102,Prerequisites not found for course 25102 even in older versions
25315,Prerequisites not found for course 25315 even in older versions
34129,Prerequisites not found for course 34129 even in older versions
46440,Prerequisites not found for course 46440 even in older versions
41782,Prerequisites not found for course 41782 even in older versions
22435,Prerequisites not found for course 22435 even in older versions
62603,Prerequisites not found for course 62603 even in older versions
62699,Prerequisites not found for course 62699 even in older versions
62145,Prerequisites not found for course 62145 even in older versions
62675,Prerequisites not found for course 62675 even in older versions
31721,Prerequisites not found for course 31721 even in older versions
31907,Prerequisites not found for course 31907 even in older versions
62708,Prerequisites not found for course 62708 even in older versions
31906,Prerequisites not found for course 31906 even in older versions
31905,Prerequisites not found for course 31905 even in older versions
34541,Prerequisites not found for course 34541 even in older versions
31908,Prerequisites not found for course 31908 even in older versions
02901,Prerequisites not found for course 02901 even in older versions
34043,Prerequisites not found for course 34043 even in older versions
10721,Prerequisites not found for course 10721 even in older versions
41616,Prerequisites not found for course 41616 even in older versions
62600,Prerequisites not found for course 62600 even in older versions
62697,Prerequisites not found for course 62697 even in older versions
62074,Prerequisites not found for course 62074 even in older versions
41714,Prerequisites not found for course 41714 even in older versions
62147,Prerequisites not found for course 62147 even in older versions
62634,Prerequisites not found for course 62634 even in older versions
31011,Prerequisites not found for course 31011 even in older versions
62698,Prerequisites not found for course 62698 even in older versions
02217,Prerequisites not found for course 02217 even in older versions
02318,Prerequisites not found for course 02318 even in older versions
30032,Prerequisites not found for course 30032 even in older versions
31711,Prerequisites not found for course 31711 even in older versions
31713,Prerequisites not found for course 31713 even in older versions
22003,Prerequisites not found for course 22003 even in older versions
34302,Prerequisites not found for course 34302 even in older versions
34126,Prerequisites not found for course 34126 even in older versions
41680,Prerequisites not found for course 41680 even in older versions
31501,Prerequisites not found for course 31501 even in older versions
22653,Prerequisites not found for course 22653 even in older versions
22654,Prerequisites not found for course 22654 even in older versions
62676,Prerequisites not found for course 62676 even in older versions
62741,Prerequisites not found for course 62741 even in older versions
62780,Prerequisites not found for course 62780 even in older versions
10935,Prerequisites not found for course 10935 even in older versions
25317,Prerequisites not found for course 25317 even in older versions
22207,Prerequisites not found for course 22207 even in older versions
22700,Prerequisites not found for course 22700 even in older versions
10859,Prerequisites not found for course 10859 even in older versions
10852,Prerequisites not found for course 10852 even in older versions
02461,Prerequisites not found for course 02461 even in older versions
02462,Prerequisites not found for course 02462 even in older versions
62317,Prerequisites not found for course 62317 even in older versions
62053,Prerequisites not found for course 62053 even in older versions
25307,Prerequisites not found for course 25307 even in older versions
25313,Prerequisites not found for course 25313 even in older versions
62000,Prerequisites not found for course 62000 even in older versions
62004,Prerequisites not found for course 62004 even in older versions
62009,Prerequisites not found for course 62009 even in older versions
62014,Prerequisites not found for course 62014 even in older versions
62046,Prerequisites not found for course 62046 even in older versions
62094,Prerequisites not found for course 62094 even in older versions
62194,Prerequisites not found for course 62194 even in older versions
62429,Prerequisites not found for course 62429 even in older versions
02228,Prerequisites not found for course 02228 even in older versions
62047,Prerequisites not found for course 62047 even in older versions
62577,Prerequisites not found for course 62577 even in older versions
62665,Prerequisites not found for course 62665 even in older versions
62087,Prerequisites not found for course 62087 even in older versions
62093,Prerequisites not found for course 62093 even in older versions
